CoT_Type_Technical;MIL2525C;APP6B
a-h-a-m-f-j;SHA-MFJ---;SHA-MFJ---
a-h-a-m-f-k;SHA-MFK---;SHA-MFK---
a-h-a-m-f-k-b;SHA-MFKB--;SHA-MFK---
a-h-a-m-f-k-d;SHA-MFKD--;SHA-MFK---
a-h-a-m-f-l;SHA-MFL---;SHA-MFL---
a-h-a-m-f-m;SHA-MFM---;SHA-MFM---
a-h-a-m-f-o;SHA-MFO---;SHA-MFO---
a-h-a-m-f-p;SHA-MFP---;SHA-MFP---
a-h-a-m-f-p-m;SHA-MFPM--;SHA-MFPM--
a-h-a-m-f-p-n;SHA-MFPN--;SHA-MFPN--
a-h-a-m-f-q;SHA-MFQ---;SHA-MFQ---
a-h-a-m-f-q-a;SHA-MFQA--;SHA-MFQA--
a-h-a-m-f-q-b;SHA-MFQB--;SHA-MFQB--
a-h-a-m-f-q-c;SHA-MFQC--;SHA-MFQC--
a-h-a-m-f-q-d;SHA-MFQD--;SHA-MFQD--
a-h-a-m-f-q-f;SHA-MFQF--;SHA-MFQF--
a-h-a-m-f-q-h;SHA-MFQH--;SHA-MFQH--
a-h-a-m-f-q-i;SHA-MFQI--;SHA-MFQI--
a-h-a-m-f-q-j;SHA-MFQJ--;SHA-MFQJ--
a-h-a-m-f-q-k;SHA-MFQK--;SHA-MFQK--
a-h-a-m-f-q-l;SHA-MFQL--;SHA-MFQL--
a-h-a-m-f-q-m;SHA-MFQM--;SHA-MFQM--
a-h-a-m-f-q-n;SHA-MFQN--;SHA-MFQN--
a-h-a-m-f-q-o;SHA-MFQO--;SHA-MFQO--
a-h-a-m-f-q-p;SHA-MFQP--;SHA-MFQP--
a-h-a-m-f-q-r;SHA-MFQR--;SHA-MFQR--
a-h-a-m-f-q-r-w;SHA-MFQRW-;SHA-MFQRW-
a-h-a-m-f-q-r-x;SHA-MFQRX-;SHA-MFQRX-
a-h-a-m-f-q-r-z;SHA-MFQRZ-;SHA-MFQRZ-
a-h-a-m-f-q-s;SHA-MFQS--;SHA-MFQS--
a-h-a-m-f-q-t;SHA-MFQT--;SHA-MFQT--
a-h-a-m-f-q-u;SHA-MFQU--;SHA-MFQU--
a-h-a-m-f-q-y;SHA-MFQY--;SHA-MFQY--
a-h-a-m-f-r;SHA-MFR---;SHA-MFR---
a-h-a-m-f-r-w;SHA-MFRW--;SHA-MFRW--
a-h-a-m-f-r-x;SHA-MFRX--;SHA-MFRX--
a-h-a-m-f-r-z;SHA-MFRZ--;SHA-MFRZ--
a-h-a-m-f-s;SHA-MFS---;SHA-MFS---
a-h-a-m-f-t;SHA-MFT---;SHA-MFT---
a-h-a-m-f-u;SHA-MFU---;SHA-MFU---
a-h-a-m-f-u-h;SHA-MFUH--;SHA-MFUH--
a-h-a-m-f-u-l;SHA-MFUL--;SHA-MFUL--
a-h-a-m-f-u-m;SHA-MFUM--;SHA-MFUM--
a-h-a-m-f-y;SHA-MFY---;SHA-MFY---
a-h-a-m-h;SHA-MH----;SHA-MH----
a-h-a-m-h-a;SHA-MHA---;SHA-MHA---
a-h-a-m-h-c;SHA-MHC---;SHA-MHC---
a-h-a-m-h-c-h;SHA-MHCH--;SHA-MHCH--
a-h-a-m-h-c-l;SHA-MHCL--;SHA-MHCL--
a-h-a-m-h-c-m;SHA-MHCM--;SHA-MHCM--
a-h-a-m-h-d;SHA-MHD---;SHA-MHD---
a-h-a-m-h-h;SHA-MHH---;SHA-MHH---
a-h-a-m-h-i;SHA-MHI---;SHA-MHI---
a-h-a-m-h-j;SHA-MHJ---;SHA-MHJ---
a-h-a-m-h-k;SHA-MHK---;SHA-MHK---
a-h-a-m-h-m;SHA-MHM---;SHA-MHM---
a-h-a-m-h-o;SHA-MHO---;SHA-MHO---
a-h-a-m-h-q;SHA-MHQ---;SHA-MHQ---
a-h-a-m-h-r;SHA-MHR---;SHA-MHR---
a-h-a-m-h-s;SHA-MHS---;SHA-MHS---
a-h-a-m-h-t;SHA-MHT---;SHA-MHT---
a-h-a-m-h-u;SHA-MHU---;SHA-MHU---
a-h-a-m-h-u-h;SHA-MHUH--;SHA-MHUH--
a-h-a-m-h-u-l;SHA-MHUL--;SHA-MHUL--
a-h-a-m-h-u-m;SHA-MHUM--;SHA-MHUM--
a-h-a-m-l;SHA-ML----;SHA-ML----
a-h-a-w;SHA-W-----;SHA-W-----
a-h-a-w-b;SHA-WB----;SHA-WB----
a-h-a-w-d;SHA-WD----;SHA-WD----
a-h-a-w-m;SHA-WM----;SHA-WM----
a-h-a-w-m-a;SHA-WMA---;SHA-WMA---
a-h-a-w-m-a-a;SHA-WMAA--;SHA-WMAA--
a-h-a-w-m-a-p;SHA-WMAP--;SHA-WMAP--
a-h-a-w-m-a-s;SHA-WMAS--;SHA-WMAS--
a-h-a-w-m-b;SHA-WMB---;SHA-WM----
a-h-a-w-m-c-m;SHA-WMCM--;SHA-WM----
a-h-a-w-m-s;SHA-WMS---;SHA-WMS---
a-h-a-w-m-s-a;SHA-WMSA--;SHA-WMSA--
a-h-a-w-m-s-b;SHA-WMSB--;SHA-WMSB--
a-h-a-w-m-s-s;SHA-WMSS--;SHA-WMSS--
a-h-a-w-m-s-u;SHA-WMSU--;SHA-WMSU--
a-h-a-w-m-u;SHA-WMU---;SHA-WMU---
a-h-f;SHF-------;SHF-------
a-h-f-a;SHF-A-----;SHF-------
a-h-f-a-f;SHF-AF----;SHF-AF----
a-h-f-a-f-a;SHF-AFA---;SHF-AFA---
a-h-f-a-f-k;SHF-AFK---;SHF-AFK---
a-h-f-a-f-u;SHF-AFU---;SHF-AFU---
a-h-f-a-f-u-h;SHF-AFUH--;SHF-AFUH--
a-h-f-a-f-u-l;SHF-AFUL--;SHF-AFUL--
a-h-f-a-f-u-m;SHF-AFUM--;SHF-AFUM--
a-h-f-a-h;SHF-AH----;SHF-AH----
a-h-f-a-h-a;SHF-AHA---;SHF-AHA---
a-h-f-a-h-h;SHF-AHH---;SHF-AHH---
a-h-f-a-h-u;SHF-AHU---;SHF-AHU---
a-h-f-a-h-u-h;SHF-AHUH--;SHF-AHUH--
a-h-f-a-h-u-l;SHF-AHUL--;SHF-AHUL--
a-h-f-a-h-u-m;SHF-AHUM--;SHF-AHUM--
a-h-f-a-v;SHF-AV----;SHF-AV----
a-h-f-b;SHF-B-----;SHF-------
a-h-f-g;SHF-G-----;SHF-G-----
a-h-f-g-c;SHF-GC----;SHF-GCA---
a-h-f-g-p;SHF-GP----;SHF-GB----
a-h-f-g-p-a;SHF-GPA---;SHF-AF----
a-h-f-g-r;SHF-GR----;SHF-G-----
a-h-f-g-s;SHF-GS----;SHF-GS----
a-h-f-n;SHF-N-----;SHF-SN----
a-h-f-n-b;SHF-NB----;SHF-SNB---
a-h-f-n-n;SHF-NN----;SHF-SNN---
a-h-f-n-s;SHF-NS----;SHF-SNS---
a-h-f-n-u;SHF-NU----;SHF-SNU---
a-h-g;SHG-------;SHG-------
a-h-g-e;SHG-E-----;SHG-E-----
a-h-g-e-s;SHG-ES----;SHG-ES----
a-h-g-e-s-e;SHG-ESE---;SHG-ESE---
a-h-g-e-s-r;SHG-ESR---;SHG-ESR---
a-h-g-e-v;SHG-EV----;SHG-EV----
a-h-g-e-v-a;SHG-EVA---;SHG-EVA---
a-h-g-e-v-a-a;SHG-EVAA--;SHG-EVAA--
a-h-g-e-v-a-a-r;SHG-EVAAR-;SHG-EVAAR-
a-h-g-e-v-a-c;SHG-EVAC--;SHG-EVAC--
a-h-g-e-v-a-i;SHG-EVAI--;SHG-EVAI--
a-h-g-e-v-a-l;SHG-EVAL--;SHG-EVAL--
a-h-g-e-v-a-s;SHG-EVAS--;SHG-EVAS--
a-h-g-e-v-a-t;SHG-EVAT--;SHG-EVAT--
a-h-g-e-v-a-t-h;SHG-EVATH-;SHG-EVATH-
a-h-g-e-v-a-t-h-r;SHG-EVATHR;SHG-EVATY-
a-h-g-e-v-a-t-l;SHG-EVATL-;SHG-EVATL-
a-h-g-e-v-a-t-l-r;SHG-EVATLR;SHG-EVATW-
a-h-g-e-v-a-t-m;SHG-EVATM-;SHG-EVATM-
a-h-g-e-v-a-t-m-r;SHG-EVATMR;SHG-EVATX-
a-h-g-e-v-c;SHG-EVC---;SHG-EVC---
a-h-g-e-v-c-a;SHG-EVCA--;SH-EVC---
a-h-g-e-v-c-a-h;SHG-EVCAH-;SH-EVC---
a-h-g-e-v-c-a-l;SHG-EVCAL-;SH-EVC---
a-h-g-e-v-c-a-m;SHG-EVCAM-;SH-EVC---
a-h-g-e-v-c-f;SHG-EVCF--;SH-EVC---
a-h-g-e-v-c-f-h;SHG-EVCFH-;SH-EVC---
a-h-g-e-v-c-f-l;SHG-EVCFL-;SH-EVC---
a-h-g-e-v-c-f-m;SHG-EVCFM-;SH-EVC---
a-h-g-e-v-c-j;SHG-EVCJ--;SH-EVC---
a-h-g-e-v-c-j-h;SHG-EVCJH-;SH-EVC---
a-h-g-e-v-c-j-l;SHG-EVCJL-;SH-EVC---
a-h-g-e-v-c-j-m;SHG-EVCJM-;SH-EVC---
a-h-g-e-v-c-m;SHG-EVCM--;SH-EVC---
a-h-g-e-v-c-m-h;SHG-EVCMH-;SH-EVC---
a-h-g-e-v-c-m-l;SHG-EVCML-;SH-EVC---
a-h-g-e-v-c-m-m;SHG-EVCMM-;SH-EVC---
a-h-g-e-v-c-o;SHG-EVCO--;SH-EVC---
a-h-g-e-v-c-o-h;SHG-EVCOH-;SH-EVC---
a-h-g-e-v-c-o-l;SHG-EVCOL-;SH-EVC---
a-h-g-e-v-c-o-m;SHG-EVCOM-;SH-EVC---
a-h-g-e-v-c-t;SHG-EVCT--;SH-EVC---
a-h-g-e-v-c-t-h;SHG-EVCTH-;SH-EVC---
a-h-g-e-v-c-t-l;SHG-EVCTL-;SH-EVC---
a-h-g-e-v-c-t-m;SHG-EVCTM-;SH-EVC---
a-h-g-e-v-c-u;SHG-EVCU--;SH-EVC---
a-h-g-e-v-c-u-h;SHG-EVCUH-;SH-EVC---
a-h-g-e-v-c-u-l;SHG-EVCUL-;SH-EVC---
a-h-g-e-v-c-u-m;SHG-EVCUM-;SH-EVC---
a-h-g-e-v-e;SHG-EVE---;SHG-EVE---
a-h-g-e-v-e-a;SHG-EVEA--;SHG-EVE---
a-h-g-e-v-e-a-a;SHG-EVEAA-;SHG-EVE---
a-h-g-e-v-e-a-t;SHG-EVEAT-;SHG-EVE---
a-h-g-e-v-e-b;SHG-EVEB--;SHG-EVEB--
a-h-g-e-v-e-c;SHG-EVEC--;SHG-EVEC--
a-h-g-e-v-e-d;SHG-EVED--;SHG-EVED--
a-h-g-e-v-e-d-a;SHG-EVEDA-;SHG-EVED--
a-h-g-e-v-e-e;SHG-EVEE--;SHG-EVEE--
a-h-g-e-v-e-f;SHG-EVEF--;SHG-EVE---
a-h-g-e-v-e-h;SHG-EVEH--;SHG-EVE---
a-h-g-e-v-e-m;SHG-EVEM--;SHG-EVEM--
a-h-g-e-v-e-m-l;SHG-EVEML-;SHG-EVEM--
a-h-g-e-v-e-m-v;SHG-EVEMV-;SHG-EVEMV-
a-h-g-e-v-e-r;SHG-EVER--;SHG-EVE---
a-h-g-e-v-e-s;SHG-EVES--;SHG-EVE---
a-h-g-e-v-m;SHG-EVM---;SHG-EV----
a-h-g-e-v-s;SHG-EVS---;SHG-EV----
a-h-g-e-v-s-c;SHG-EVSC--;SHG-EV----
a-h-g-e-v-s-p;SHG-EVSP--;SHG-EV----
a-h-g-e-v-s-r;SHG-EVSR--;SHG-EV----
a-h-g-e-v-s-t;SHG-EVST--;SHG-EV----
a-h-g-e-v-s-w;SHG-EVSW--;SHG-EV----
a-h-g-e-v-t;SHG-EVT---;SHG-EVST--
a-h-g-e-v-u;SHG-EVU---;SHG-EVU---
a-h-g-e-v-u-a;SHG-EVUA--;SHG-EVU---
a-h-g-e-v-u-a-a;SHG-EVUAA-;SHG-EVAA--
a-h-g-e-v-u-b;SHG-EVUB--;SHG-EVUB--
a-h-g-e-v-u-l;SHG-EVUL--;SHG-EVUL--
a-h-g-e-v-u-r;SHG-EVUR--;SHG-EVUR--
a-h-g-e-v-u-s;SHG-EVUS--;SHG-EVUS--
a-h-g-e-v-u-s-h;SHG-EVUSH-;SHG-EVUS--
a-h-g-e-v-u-s-l;SHG-EVUSL-;SHG-EVUS--
a-h-g-e-v-u-s-m;SHG-EVUSM-;SHG-EVUS--
a-h-g-e-v-u-t;SHG-EVUT--;SHG-EVU---
a-h-g-e-v-u-t-h;SHG-EVUTH-;SHG-EVU---
a-h-g-e-v-u-t-l;SHG-EVUTL-;SHG-EVU---
a-h-g-e-v-u-x;SHG-EVUX--;SHG-EVUX--
a-h-g-e-w;SHG-EW----;SHG-EW----
a-h-g-e-w-a;SHG-EWA---;SHG-EWA---
a-h-g-e-w-a-h;SHG-EWAH--;SHG-EWAH--
a-h-g-e-w-a-l;SHG-EWAL--;SHG-EWAL--
a-h-g-e-w-a-m;SHG-EWAM--;SHG-EWAM--
a-h-g-e-w-d;SHG-EWD---;SHG-EWD---
a-h-g-e-w-d-h;SHG-EWDH--;SHG-EWDH--
a-h-g-e-w-d-h-s;SHG-EWDHS-;SHG-EWDHS-
a-h-g-e-w-d-l;SHG-EWDL--;SHG-EWDL--
a-h-g-e-w-d-l-s;SHG-EWDLS-;SHG-EWDLS-
a-h-g-e-w-d-m;SHG-EWDM--;SHG-EWDM--
a-h-g-e-w-d-m-s;SHG-EWDMS-;SHG-EWDMS-
a-h-g-e-w-g;SHG-EWG---;SHG-EWG---
a-h-g-e-w-g-h;SHG-EWGH--;SHG-EWGH--
a-h-g-e-w-g-l;SHG-EWGL--;SHG-EWGL--
a-h-g-e-w-g-m;SHG-EWGM--;SHG-EWGM--
a-h-g-e-w-g-r;SHG-EWGR--;SHG-EWGR--
a-h-g-e-w-h;SHG-EWH---;SHG-EWH---
a-h-g-e-w-h-h;SHG-EWHH--;SHG-EWHH--
a-h-g-e-w-h-h-s;SHG-EWHHS-;SHG-EWHHS-
a-h-g-e-w-h-l;SHG-EWHL--;SHG-EWHL--
a-h-g-e-w-h-l-s;SHG-EWHLS-;SHG-EWHLS-
a-h-g-e-w-h-m;SHG-EWHM--;SHG-EWHM--
a-h-g-e-w-h-m-s;SHG-EWHMS-;SHG-EWHMS-
a-h-g-e-w-m;SHG-EWM---;SHG-EWM---
a-h-g-e-w-m-a;SHG-EWMA--;SHG-EWMA--
a-h-g-e-w-m-a-i;SHG-EWMAI-;SHG-EWMAI-
a-h-g-e-w-m-a-i-e;SHG-EWMAIE;SHG-EWMAI-
a-h-g-e-w-m-a-i-r;SHG-EWMAIR;SHG-EWMAI-
a-h-g-e-w-m-a-l;SHG-EWMAL-;SHG-EWMAL-
a-h-g-e-w-m-a-l-e;SHG-EWMALE;SHG-EWMAL-
a-h-g-e-w-m-a-l-r;SHG-EWMALR;SHG-EWMAL-
a-h-g-e-w-m-a-s;SHG-EWMAS-;SHG-EWMAS-
a-h-g-e-w-m-a-s-e;SHG-EWMASE;SHG-EWMAS-
a-h-g-e-w-m-a-s-r;SHG-EWMASR;SHG-EWMAS-
a-h-g-e-w-m-a-t;SHG-EWMAT-;SHG-EWMAT-
a-h-g-e-w-m-a-t-e;SHG-EWMATE;SHG-EWMAT-
a-h-g-e-w-m-a-t-r;SHG-EWMATR;SHG-EWMAT-
a-h-g-e-w-m-s;SHG-EWMS--;SHG-EWMS--
a-h-g-e-w-m-s-i;SHG-EWMSI-;SHG-EWMSI-
a-h-g-e-w-m-s-l;SHG-EWMSL-;SHG-EWMSL-
a-h-g-e-w-m-s-s;SHG-EWMSS-;SHG-EWMSS-
a-h-g-e-w-m-t;SHG-EWMT--;SHG-EWMT--
a-h-g-e-w-m-t-h;SHG-EWMTH-;SHG-EWMTH-
a-h-g-e-w-m-t-l;SHG-EWMTL-;SHG-EWMTL-
a-h-g-e-w-m-t-m;SHG-EWMTM-;SHG-EWMTM-
a-h-g-e-w-o;SHG-EWO---;SHG-EWO---
a-h-g-e-w-o-h;SHG-EWOH--;SHG-EWOH--
a-h-g-e-w-o-l;SHG-EWOL--;SHG-EWOL--
a-h-g-e-w-o-m;SHG-EWOM--;SHG-EWOM--
a-h-g-e-w-r;SHG-EWR---;SHG-EWR---
a-h-g-e-w-r-h;SHG-EWRH--;SHG-EWRH--
a-h-g-e-w-r-l;SHG-EWRL--;SHG-EWRL--
a-h-g-e-w-r-r;SHG-EWRR--;SHG-EWRR--
a-h-g-e-w-s;SHG-EWS---;SHG-EWS---
a-h-g-e-w-s-h;SHG-EWSH--;SHG-EWSH--
a-h-g-e-w-s-l;SHG-EWSL--;SHG-EWSL--
a-h-g-e-w-s-m;SHG-EWSM--;SHG-EWSM--
a-h-g-e-w-t;SHG-EWT---;SHG-EWT---
a-h-g-e-w-t-h;SHG-EWTH--;SHG-EWTH--
a-h-g-e-w-t-l;SHG-EWTL--;SHG-EWTL--
a-h-g-e-w-t-m;SHG-EWTM--;SHG-EWTM--
a-h-g-e-w-x;SHG-EWX---;SHG-EWX---
a-h-g-e-w-x-h;SHG-EWXH--;SHG-EWXH--
a-h-g-e-w-x-l;SHG-EWXL--;SHG-EWXL--
a-h-g-e-w-x-m;SHG-EWXM--;SHG-EWXM--
a-h-g-e-w-z;SHG-EWZ---;SHG-EWZ---
a-h-g-e-w-z-h;SHG-EWZH--;SHG-EWZH--
a-h-g-e-w-z-l;SHG-EWZL--;SHG-EWZL--
a-h-g-e-w-z-m;SHG-EWZM--;SHG-EWZM--
a-h-g-e-x;SHG-EX----;SHG-EX----
a-h-g-e-x-f;SHG-EXF---;SHG-EXF---
a-h-g-e-x-i;SHG-EXI---;SHG-EXM---
a-h-g-e-x-l;SHG-EXL---;SHG-EXL---
a-h-g-e-x-m;SHG-EXM---;SHG-EXM---
a-h-g-e-x-m-c;SHG-EXMC--;SHG-EXMC--
a-h-g-e-x-m-l;SHG-EXML--;SHG-EXML--
a-h-g-e-x-n;SHG-EXN---;SHG-EXN---
a-h-g-i-h;SHG-IH----;SHG-I-----
a-h-g-i-b-h;SHG-IBH---;SHG-IB----
a-h-g-i-b-a-h;SHG-IBAH--;SHG-IB----
a-h-g-i-b-n-h;SHG-IBNH--;SHG-IB----
a-h-g-i-e-h;SHG-IEH---;SHG-IE----
a-h-g-i-g-h;SHG-IGH---;SHG-IG----
a-h-g-i-m-h;SHG-IMH---;SHG-IM----
a-h-g-i-m-a-h;SHG-IMAH--;SHG-IMA---
a-h-g-i-m-c-h;SHG-IMCH--;SHG-IMC---
a-h-g-i-m-e-h;SHG-IMEH--;SHG-IME---
a-h-g-i-m-f-h;SHG-IMFH--;SHG-IMF---
a-h-g-i-m-f-a-h;SHG-IMFAH-;SHG-IMF---
a-h-g-i-m-f-p-h;SHG-IMFPH-;SHG-IMF---
a-h-g-i-m-f-p-w-h;SHG-IMFPWH;SHG-IMF---
a-h-g-i-m-f-s-h;SHG-IMFSH-;SHG-IMF---
a-h-g-i-m-g-h;SHG-IMGH--;SHG-IMG---
a-h-g-i-m-m-h;SHG-IMMH--;SHG-IMM---
a-h-g-i-m-n-h;SHG-IMNH--;SHG-IMN---
a-h-g-i-m-n-b-h;SHG-IMNBH-;SHG-IMNB---
a-h-g-i-m-s-h;SHG-IMSH--;SHG-IMS---
a-h-g-i-m-v-h;SHG-IMVH--;SHG-IMV---
a-h-g-i-p-h;SHG-IPH---;SHG-IP----
a-h-g-i-p-d-h;SHG-IPDH--;SHG-IR----
a-h-g-i-r-h;SHG-IRH---;SHG-IR----
a-h-g-i-r-m-h;SHG-IRMH--;SHG-IR----
a-h-g-i-r-n-h;SHG-IRNH--;SHG-IRN---
a-h-g-i-r-n-b-h;SHG-IRNBH-;SHG-IRNB--
a-h-g-i-r-n-c-h;SHG-IRNCH-;SHG-IRNC--
a-h-g-i-r-n-n-h;SHG-IRNNH-;SHG-IRNN--
a-h-g-i-r-p-h;SHG-IRPH--;SHG-IRP---
a-h-g-i-t-h;SHG-ITH---;SHG-IT--
a-h-g-i-u-h;SHG-IUH---;SHG-IU--
a-h-g-i-u-e-h;SHG-IUEH--;SHG-IUE--
a-h-g-i-u-e-d-h;SHG-IUEDH-;SHG-IUE--
a-h-g-i-u-e-f-h;SHG-IUEFH-;SHG-IUE--
a-h-g-i-u-e-n-h;SHG-IUENH-;SHG-IUE--
a-h-g-i-u-p-h;SHG-IUPH--;SHG-IUP---
a-h-g-i-u-r-h;SHG-IURH--;SHG-IUR---
a-h-g-i-u-t-h;SHG-IUTH--;SHG-IUT---
a-h-g-i-x-h;SHG-IXH---;SHG-IXH---
a-h-g-i-x-h-h;SHG-IXHH--;SHG-IXH---
a-h-g-u;SHG-U-----;SHG-U-----
a-h-g-u-c;SHG-UC----;SHG-UC----
a-h-g-u-c-a;SHG-UCA---;SHG-UCA---
a-h-g-u-c-a-a;SHG-UCAA--;SHG-UCAA--
a-h-g-u-c-a-a-a;SHG-UCAAA-;SHG-UCAAA-
a-h-g-u-c-a-a-a-s;SHG-UCAAAS;SHG-UCAAAS
a-h-g-u-c-a-a-a-t;SHG-UCAAAT;SHG-UCAAAT
a-h-g-u-c-a-a-a-w;SHG-UCAAAW;SHG-UCAAAW
a-h-g-u-c-a-a-c;SHG-UCAAC-;SHG-UCAAC-
a-h-g-u-c-a-a-d;SHG-UCAAD-;SHG-UCAAD-
a-h-g-u-c-a-a-l;SHG-UCAAL-;SHG-UCAAL-
a-h-g-u-c-a-a-m;SHG-UCAAM-;SHG-UCAAM-
a-h-g-u-c-a-a-o;SHG-UCAAO-;SHG-UCAAO-
a-h-g-u-c-a-a-o-s;SHG-UCAAOS;SHG-UCAAOS
a-h-g-u-c-a-a-s;SHG-UCAAS-;SHG-UCAAS-
a-h-g-u-c-a-a-u;SHG-UCAAU-;SHG-UCAAU-
a-h-g-u-c-a-t;SHG-UCAT--;SHG-UCAT--
a-h-g-u-c-a-t-a;SHG-UCATA-;SHG-UCATA-
a-h-g-u-c-a-t-h;SHG-UCATH-;SHG-UCATH-
a-h-g-u-c-a-t-l;SHG-UCATL-;SHG-UCATL-
a-h-g-u-c-a-t-m;SHG-UCATM-;SHG-UCATM-
a-h-g-u-c-a-t-r;SHG-UCATR-;SHG-UCATR-
a-h-g-u-c-a-t-w;SHG-UCATW-;SHG-UCATW-
a-h-g-u-c-a-t-w-r;SHG-UCATWR;SHG-UCATWR
a-h-g-u-c-a-w;SHG-UCAW--;SHG-UCAW--
a-h-g-u-c-a-w-a;SHG-UCAWA-;SHG-UCAWA-
a-h-g-u-c-a-w-h;SHG-UCAWH-;SHG-UCAWH-
a-h-g-u-c-a-w-l;SHG-UCAWL-;SHG-UCAWL-
a-h-g-u-c-a-w-m;SHG-UCAWM-;SHG-UCAWM-
a-h-g-u-c-a-w-r;SHG-UCAWR-;SHG-UCAWR-
a-h-g-u-c-a-w-s;SHG-UCAWS-;SHG-UCAWS-
a-h-g-u-c-a-w-w;SHG-UCAWW-;SHG-UCAWW-
a-h-g-u-c-a-w-w-r;SHG-UCAWWR;SHG-UCAWWR
a-h-g-u-c-d;SHG-UCD---;SHG-UCD---
a-h-g-u-c-d-c;SHG-UCDC--;SHG-UCDC--
a-h-g-u-c-d-g;SHG-UCDG--;SHG-UCDG--
a-h-g-u-c-d-h;SHG-UCDH--;SHG-UCDH--
a-h-g-u-c-d-h-h;SHG-UCDHH-;SHG-UCDH--
a-h-g-u-c-d-h-p;SHG-UCDHP-;SHG-UCDH--
a-h-g-u-c-d-m;SHG-UCDM--;SHG-UCDM--
a-h-g-u-c-d-m-h;SHG-UCDMH-;SHG-UCDMH-
a-h-g-u-c-d-m-l;SHG-UCDML-;SHG-UCDML-
a-h-g-u-c-d-m-l-a;SHG-UCDMLA;SHG-UCDMLA
a-h-g-u-c-d-m-m;SHG-UCDMM-;SHG-UCDMM-
a-h-g-u-c-d-o;SHG-UCDO--;SHG-UCDO--
a-h-g-u-c-d-s;SHG-UCDS--;SHG-UCDS--
a-h-g-u-c-d-s-c;SHG-UCDSC-;SHG-UCDS--
a-h-g-u-c-d-s-s;SHG-UCDSS-;SHG-UCDS--
a-h-g-u-c-d-s-v;SHG-UCDSV-;SHG-UCDS--
a-h-g-u-c-d-t;SHG-UCDT--;SHG-UCDT--
a-h-g-u-c-e;SHG-UCE---;SHG-UCE---
a-h-g-u-c-e-c;SHG-UCEC--;SHG-UCEC--
a-h-g-u-c-e-c-a;SHG-UCECA-;SHG-UCECA-
a-h-g-u-c-e-c-c;SHG-UCECC-;SHG-UCECC-
a-h-g-u-c-e-c-h;SHG-UCECH-;SHG-UCECH-
a-h-g-u-c-e-c-l;SHG-UCECL-;SHG-UCECL-
a-h-g-u-c-e-c-m;SHG-UCECM-;SHG-UCECM-
a-h-g-u-c-e-c-o;SHG-UCECO-;SHG-UCECO-
a-h-g-u-c-e-c-r;SHG-UCECR-;SHG-UCECR-
a-h-g-u-c-e-c-s;SHG-UCECS-;SHG-UCECS-
a-h-g-u-c-e-c-t;SHG-UCECT-;SHG-UCECT-
a-h-g-u-c-e-c-w;SHG-UCECW-;SHG-UCECW-
a-h-g-u-c-e-n;SHG-UCEN--;SHG-UCEN--
a-h-g-u-c-e-n-n;SHG-UCENN-;SHG-UCENN-
a-h-g-u-c-f;SHG-UCF---;SHG-UCF---
a-h-g-u-c-f-h;SHG-UCFH--;SHG-UCFH--
a-h-g-u-c-f-h-a;SHG-UCFHA-;SHG-UCFHA-
a-h-g-u-c-f-h-c;SHG-UCFHC-;SHG-UCFHC-
a-h-g-u-c-f-h-e;SHG-UCFHE-;SHG-UCFHE-
a-h-g-u-c-f-h-h;SHG-UCFHH-;SHG-UCFHH-
a-h-g-u-c-f-h-l;SHG-UCFHL-;SHG-UCFHL-
a-h-g-u-c-f-h-m;SHG-UCFHM-;SHG-UCFHM-
a-h-g-u-c-f-h-o;SHG-UCFHO-;SHG-UCFHO-
a-h-g-u-c-f-h-s;SHG-UCFHS-;SHG-UCFHS-
a-h-g-u-c-f-h-x;SHG-UCFHX-;SHG-UCFHX-
a-h-g-u-c-f-m;SHG-UCFM--;SHG-UCFM--
a-h-g-u-c-f-m-l;SHG-UCFML-;SHG-UCFML-
a-h-g-u-c-f-m-s;SHG-UCFMS-;SHG-UCFMS-
a-h-g-u-c-f-m-t;SHG-UCFMT-;SHG-UCFMT-
a-h-g-u-c-f-m-t-a;SHG-UCFMTA;SHG-UCFMTA
a-h-g-u-c-f-m-t-c;SHG-UCFMTC;SHG-UCFMTC
a-h-g-u-c-f-m-t-o;SHG-UCFMTO;SHG-UCFMTO
a-h-g-u-c-f-m-t-s;SHG-UCFMTS;SHG-UCFMTS
a-h-g-u-c-f-m-w;SHG-UCFMW-;SHG-UCFMSW
a-h-g-u-c-f-o;SHG-UCFO--;SHG-UCFO--
a-h-g-u-c-f-o-a;SHG-UCFOA-;SHG-UCFOA-
a-h-g-u-c-f-o-l;SHG-UCFOL-;SHG-UCFOL-
a-h-g-u-c-f-o-o;SHG-UCFOO-;SHG-UCFOO-
a-h-g-u-c-f-o-s;SHG-UCFOS-;SHG-UCFOS-
a-h-g-u-c-f-r;SHG-UCFR--;SHG-UCFR--
a-h-g-u-c-f-r-m;SHG-UCFRM-;SHG-UCFRM-
a-h-g-u-c-f-r-m-r;SHG-UCFRMR;SHG-UCFRMR
a-h-g-u-c-f-r-m-s;SHG-UCFRMS;SHG-UCFRMS
a-h-g-u-c-f-r-m-t;SHG-UCFRMT;SHG-UCFRMT
a-h-g-u-c-f-r-s;SHG-UCFRS-;SHG-UCFRS-
a-h-g-u-c-f-r-s-r;SHG-UCFRSR;SHG-UCFRSR
a-h-g-u-c-f-r-s-s;SHG-UCFRSS;SHG-UCFRSS
a-h-g-u-c-f-r-s-t;SHG-UCFRST;SHG-UCFRST
